iter	Passed	Remaining
294	1829	4372
295	1835	4365
296	1841	4357
297	1846	4349
298	1852	4342
299	1858	4336
300	1863	4327
301	1869	4321
302	1876	4315
303	1882	4309
304	1887	4300
305	1892	4292
306	1898	4284
307	1904	4278
308	1912	4276
309	1920	4274
310	1925	4266
311	1933	4263
312	1939	4258
313	1947	4253
314	1952	4245
315	1957	4237
316	1964	4233
317	1970	4226
318	1977	4220
319	1982	4212
320	1988	4205
321	1994	4200
322	1999	4191
323	2006	4186
324	2012	4179
325	2017	4170
326	2022	4163
327	2027	4154
328	2033	4146
329	2041	4145
330	2047	4137
331	2053	4130
332	2058	4123
333	2063	4114
334	2068	4106
335	2074	4098
336	2079	4091
337	2086	4086
338	2091	4078
339	2097	4071
340	2103	4064
341	2108	4057
342	2115	4051
343	2121	4046
344	2126	4038
345	2134	4034
346	2140	4027
347	2148	4024
348	2156	4022
349	2163	4017
350	2168	4009
351	2173	4001
352	2180	3997
353	2186	3990
354	2193	3984
355	2198	3977
356	2221	4000
357	2240	4018
358	2252	4022
359	2262	4021
360	2272	4021
361	2279	4017
362	2288	4015
363	2306	4029
364	2312	4023
365	2320	4019
366	2328	4016
367	2344	4025
368	2354	4025
369	2360	4019
370	2368	4015
371	2374	4008
372	2381	4002
373	2386	3995
374	2392	3986
375	2398	3980
376	2403	3971
377	2407	3962
378	2413	3954
379	2418	3945
380	2422	3935
381	2427	3927
382	2432	3919
383	2437	3910
384	2443	3902
385	2448	3894
386	2452	3885
387	2457	3876
388	2461	3866
389	2467	3859
390	2472	3851
391	2478	3843
392	2484	3837
393	2489	3829
394	2493	3819
395	2499	3811
396	2506	3806
397	2511	3798
398	2519	3794
399	2526	3789
400	2532	3783
401	2538	3776
402	2546	3771
403	2552	3766
404	2560	3761
405	2565	3753
406	2571	3747
407	2578	3741
408	2584	3734
409	2591	3728
410	2597	3721
411	2602	3714
412	2608	3707
413	2614	3700
414	2619	3692
415	2624	3683
416	2628	3674
417	2632	3665
418	2637	3657
419	2642	3649
420	2648	3642
421	2653	3634
422	2658	3625
423	2663	3617
424	2668	3610
425	2672	3600
426	2677	3593
427	2682	3584
428	2687	3576
429	2691	3568
430	2695	3559
431	2700	3550
432	2704	3542
433	2708	3532
434	2712	3523
435	2716	3514
436	2721	3505
437	2725	3496
438	2729	3487
439	2733	3479
440	2737	3470
441	2742	3462
442	2746	3453
443	2750	3444
444	2754	3435
445	2759	3427
446	2763	3418
447	2768	3411
448	2772	3402
449	2777	3394
450	2782	3387
451	2786	3378
452	2791	3371
453	2796	3362
454	2801	3355
455	2805	3347
456	2810	3339
457	2816	3332
458	2820	3324
459	2824	3316
460	2829	3308
461	2835	3301
462	2839	3293
463	2843	3285
464	2849	3278
465	2854	3270
466	2858	3262
467	2864	3256
468	2868	3248
469	2872	3239
470	2878	3233
471	2883	3225
472	2887	3217
473	2892	3209
474	2896	3201
475	2901	3193
476	2905	3185
477	2910	3178
478	2915	3171
479	2919	3163
480	2925	3156
481	2929	3148
482	2934	3140
483	2939	3134
484	2945	3127
485	2952	3122
486	2957	3115
487	2963	3109
488	2970	3103
489	2976	3098
490	2984	3093
491	2991	3089
492	2998	3083
493	3007	3080
494	3012	3073
495	3017	3066
496	3026	3063
497	3033	3057
498	3040	3052
499	3044	3044
500	3052	3040
501	3058	3033
502	3063	3026
503	3069	3020
504	3074	3013
505	3079	3006
506	3086	3001
507	3090	2993
508	3096	2986
509	3102	2980
510	3106	2972
511	3112	2966
512	3117	2959
513	3122	2952
514	3128	2945
515	3132	2938
516	3137	2930
517	3144	2926
518	3149	2918
519	3154	2911
520	3160	2905
521	3164	2898
522	3169	2890
523	3174	2884
524	3179	2877
525	3184	2869
526	3191	2864
527	3196	2857
528	3201	2850
529	3206	2843
530	3211	2836
531	3215	2828
532	3220	2821
533	3226	2816
534	3231	2808
535	3237	2802
536	3243	2796
537	3247	2788
538	3254	2783
539	3259	2776
540	3263	2768
541	3268	2761
542	3273	2754
543	3277	2747
544	3282	2740
545	3288	2734
546	3293	2727
547	3300	2722
548	3304	2714
549	3308	2707
550	3315	2701
551	3319	2694
552	3325	2687
553	3331	2681
554	3337	2676
555	3344	2670
556	3349	2663
557	3354	2657
558	3359	2650
559	3364	2643
560	3371	2638
561	3376	2631
562	3381	2624
563	3385	2617
564	3391	2610
565	3396	2604
566	3401	2597
567	3406	2591
568	3412	2584
569	3417	2578
570	3423	2571
571	3427	2564
572	3432	2557
573	3437	2551
574	3443	2545
575	3449	2539
576	3456	2533
577	3462	2527
578	3468	2521
579	3473	2515
580	3478	2508
581	3482	2501
582	3488	2495
583	3493	2488
584	3499	2482
585	3504	2476
586	3509	2469
587	3514	2462
588	3520	2456
589	3526	2450
590	3531	2443
591	3536	2437
592	3541	2430
593	3545	2423
594	3552	2417
595	3557	2411
596	3562	2405
597	3567	2398
598	3573	2392
599	3579	2386
600	3583	2379
601	3588	2372
602	3594	2366
603	3600	2360
604	3607	2355
605	3612	2348
606	3619	2343
607	3625	2337
608	3631	2331
609	3637	2325
610	3642	2319
611	3649	2313
612	3655	2307
613	3667	2305
614	3673	2299
615	3679	2293
616	3686	2288
617	3692	2282
618	3698	2276
619	3705	2271
620	3711	2265
621	3717	2259
622	3723	2253
623	3728	2246
624	3733	2239
625	3738	2233
626	3743	2227
627	3749	2221
628	3756	2215
629	3763	2210
630	3772	2206
631	3783	2203
632	3790	2197
633	3802	2194
634	3810	2190
635	3820	2186
636	3829	2182
637	3838	2178
638	3849	2174
639	3859	2171
640	3870	2167
641	3879	2163
642	3885	2157
643	3891	2151
644	3897	2145
645	3903	2139
646	3909	2133
647	3916	2127
648	3923	2121
649	3930	2116
650	3938	2111
651	3944	2105
652	3950	2099
653	3958	2094
654	3963	2087
655	3969	2081
656	3976	2076
657	3981	2069
658	3988	2064
659	3994	2057
660	4000	2051
661	4008	2046
662	4013	2040
663	4022	2035
664	4028	2029
665	4034	2023
666	4038	2016
667	4045	2010
668	4052	2004
669	4057	1998
670	4062	1991
671	4068	1985
672	4074	1979
673	4079	1973
674	4085	1967
675	4090	1960
676	4096	1954
677	4102	1948
678	4107	1942
679	4113	1935
680	4120	1930
681	4125	1923
682	4131	1917
683	4137	1911
684	4142	1905
685	4148	1898
686	4154	1892
687	4161	1887
688	4166	1880
689	4172	1874
690	4178	1868
691	4186	1863
692	4192	1857
693	4198	1851
694	4204	1845
695	4210	1839
696	4217	1833
697	4224	1827
698	4229	1821
699	4234	1814
700	4240	1808
701	4246	1802
702	4252	1796
703	4257	1790
704	4262	1783
705	4268	1777
706	4274	1771
707	4279	1764
708	4284	1758
709	4290	1752
710	4295	1746
711	4301	1739
712	4307	1733
713	4312	1727
714	4318	1721
715	4324	1715
716	4332	1709
717	4337	1703
718	4343	1697
719	4351	1692
720	4358	1686
721	4363	1680
722	4369	1673
723	4376	1668
724	4382	1662
725	4388	1656
726	4396	1650
727	4402	1644
728	4407	1638
729	4413	1632
730	4420	1626
731	4427	1620
732	4437	1616
733	4445	1611
734	4452	1605
735	4461	1600
736	4472	1595
737	4480	1590
738	4489	1585
739	4497	1580
740	4504	1574
741	4510	1568
742	4516	1562
743	4522	1556
744	4528	1550
745	4536	1544
746	4545	1539
747	4551	1533
748	4559	1527
749	4567	1522
750	4572	1516
751	4579	1510
752	4584	1503
753	4591	1498
754	4597	1491
755	4603	1485
756	4611	1480
757	4618	1474
758	4624	1468
759	4632	1462
760	4640	1457
761	4648	1451
762	4653	1445
763	4659	1439
764	4665	1433
765	4671	1427
766	4677	1420
767	4682	1414
768	4687	1408
769	4692	1401
770	4698	1395
771	4705	1389
772	4714	1384
773	4723	1379
774	4734	1374
775	4744	1369
776	4753	1364
777	4761	1358
778	4768	1352
779	4773	1346
780	4780	1340
781	4786	1334
782	4793	1328
783	4799	1322
784	4808	1316
785	4814	1310
786	4823	1305
787	4831	1299
788	4839	1294
789	4845	1288
790	4851	1281
791	4858	1275
792	4863	1269
793	4870	1263
794	4875	1257
795	4882	1251
796	4889	1245
797	4897	1239
798	4907	1234
799	4914	1228
800	4920	1222
801	4931	1217
802	4941	1212
803	4951	1207
804	4962	1201
805	4970	1196
806	4980	1191
807	4990	1185
808	4996	1179
809	5002	1173
810	5011	1167
811	5021	1162
812	5028	1156
813	5035	1150
814	5044	1145
815	5053	1139
816	5061	1133
817	5069	1127
818	5077	1122
819	5084	1116
820	5092	1110
821	5099	1104
822	5107	1098
823	5114	1092
824	5122	1086
825	5132	1081
826	5139	1075
827	5148	1069
828	5155	1063
829	5165	1058
830	5174	1052
831	5182	1046
832	5189	1040
833	5196	1034
834	5202	1028
835	5209	1021
836	5216	1015
837	5223	1009
838	5230	1003
839	5236	997
840	5244	991
841	5250	985
842	5258	979
843	5263	972
844	5271	966
845	5283	961
846	5289	955
847	5296	949
848	5303	943
849	5310	937
850	5316	930
851	5323	924
852	5331	918
853	5338	912
854	5344	906
855	5352	900
856	5359	894
857	5369	888
858	5377	882
859	5384	876
860	5392	870
861	5398	864
862	5404	857
863	5411	851
864	5422	846
865	5429	840
866	5438	834
867	5449	828
868	5459	823
869	5468	817
870	5478	811
871	5487	805
872	5495	799
873	5502	793
874	5512	787
875	5520	781
876	5526	775
877	5533	768
878	5542	762
879	5551	757
880	5557	750
881	5563	744
882	5570	738
883	5579	732
884	5586	725
885	5592	719
886	5599	713
887	5605	707
888	5612	700
889	5619	694
890	5624	688
891	5631	681
892	5639	675
893	5646	669
894	5651	663
895	5659	656
896	5664	650
897	5671	644
898	5679	638
899	5686	631
900	5692	625
901	5697	619
902	5704	612
903	5710	606
904	5715	599
905	5723	593
906	5729	587
907	5738	581
908	5744	575
909	5752	568
910	5759	562
911	5768	556
912	5774	550
913	5781	544
914	5788	537
915	5797	531
916	5804	525
917	5809	518
918	5816	512
919	5824	506
920	5831	500
921	5836	493
922	5844	487
923	5851	481
924	5859	475
925	5869	469
926	5878	462
927	5886	456
928	5894	450
929	5902	444
930	5910	438
931	5920	431
932	5929	425
933	5940	419
934	5947	413
935	5956	407
936	5962	400
937	5970	394
938	5977	388
939	5986	382
940	5993	375
941	6000	369
942	6007	363
943	6015	356
944	6021	350
945	6027	344
946	6034	337
947	6040	331
948	6047	325
949	6054	318
950	6063	312
951	6070	306
952	6078	299
953	6085	293
954	6094	287
955	6101	280
956	6106	274
957	6112	267
958	6119	261
959	6126	255
960	6132	248
961	6138	242
962	6146	236
963	6152	229
964	6159	223
965	6165	217
966	6171	210
967	6179	204
968	6186	197
969	6192	191
970	6201	185
971	6208	178
972	6213	172
973	6220	166
974	6226	159
975	6233	153
976	6238	146
977	6245	140
978	6251	134
979	6256	127
980	6264	121
981	6270	114
982	6277	108
983	6283	102
984	6288	95
985	6295	89
986	6301	83
987	6308	76
988	6314	70
989	6320	63
990	6324	57
991	6330	51
992	6335	44
993	6342	38
994	6347	31
995	6353	25
996	6360	19
997	6365	12
998	6372	6
999	6377	0
